comunadondeseimpartelacarreraopr,nombreregion,duraciónensemestres,puntaje,pnem,prank,ingreso2,valordearancel,ingreso,area,year
La Serena,Región de Coquimbo,10,535,,,15,1.490.000,68,SocSci,2008
La Serena,Región de Coquimbo,10,525,,,19,1.870.000,127,SocSci,2008
San Miguel,Región Metropolitana,8,462,,,5,1.437.000,64,SocSci,2008
Arica,Región de Arica y Parinacota,9,488,,,28,2.043.400,161,SocSci,2018
Viña del Mar,Región de Valparaíso,5,388,,,1,970.000,100,SocSci,2011
Santiago,Región Metropolitana,10,542,,,22,2.210.000,122,SocSci,2009
La Serena,Región de Coquimbo,9,509,,,17,1.560.000,167,SocSci,2012
Las Condes,Región Metropolitana,5,546,478,,8,3.245.000,216,SocSci,2016
Santiago,Región Metropolitana,9,680,,,97,3.610.000,605,SocSci,2010
Providencia,Región Metropolitana,9,581,,,38,2.082.000,222,SocSci,2010
Santiago,Región Metropolitana,10,582,,,83,2.049.453,303,SocSci,2012
Santiago,Región Metropolitana,10,573,567,593,104,2.493.378,436,SocSci,2016
Santiago,Región Metropolitana,9,531,,,22,3.332.676,45,SocSci,2012
Providencia,Región Metropolitana,8,530,,,6,1.845.000,52,SocSci,2006
Puerto Montt,Región de Los Lagos,10,566,,,67,2.480.000,294,SocSci,2010
Antofagasta,Región de Antofagasta,10,595,,,84,2.060.000,497,SocSci,2008
Los Ángeles,Región del Bío-Bío,10,552,,,70,2.960.800,287,SocSci,2019
Melipilla,Región Metropolitana,9,545,,,18,1.350.000,45,SocSci,2007
Antofagasta,Región de Antofagasta,10,536,527,540,38,2.779.000,167,SocSci,2015
Antofagasta,Región de Antofagasta,9,399,,,7,790.000,32,SocSci,2011
Santiago,Región Metropolitana,10,526,490,498,38,3.379.557,163,SocSci,2016
Iquique,Región de Tarapacá,9,525,,,16,1.210.000,29,SocSci,2007
Santiago,Región Metropolitana,9,442,,,54,840.000,240,SocSci,2010
Chillán,Región de Ñuble,10,593,,,49,1.654.000,237,SocSci,2009
Concepción,Región del Bío-Bío,10,610,,,47,1.745.000,232,SocSci,2006
Talca,Región del Maule,9,510,,,18,1.050.000,115,SocSci,2006
Santiago,Región Metropolitana,10,494,,,43,1.713.000,256,SocSci,2011
Temuco,Región de La Araucanía,10,510,,,103,2.376.000,407,SocSci,2012
Victoria,Región de La Araucanía,10,555,571,589,39,2.361.404,146,SocSci,2016
Santiago,Región Metropolitana,10,667,667,701,53,3.321.000,207,SocSci,2018
Temuco,Región de La Araucanía,4,550,520,527,27,2.820.000,66,SocSci,2019
Santiago,Región Metropolitana,10,629,618,653,107,5.016.000,603,SocSci,2019
Temuco,Región de La Araucanía,4,549,513,519,38,2.538.000,67,SocSci,2016
Providencia,Región Metropolitana,10,524,,,27,1.955.800,259,SocSci,2008
Santiago,Región Metropolitana,10,589,546,566,21,2.928.000,115,SocSci,2019
Antofagasta,Región de Antofagasta,10,548,,,64,1.870.000,332,SocSci,2007
Santiago,Región Metropolitana,10,515,,,25,1.930.000,108,SocSci,2008
Temuco,Región de La Araucanía,10,518,,,56,1.835.000,330,SocSci,2012
Recoleta,Región Metropolitana,10,504,495,505,29,2.526.900,61,SocSci,2016
Providencia,Región Metropolitana,10,507,,,11,1.397.000,138,SocSci,2007
Viña del Mar,Región de Valparaíso,10,582,,,33,3.149.096,100,SocSci,2009
Iquique,Región de Tarapacá,9,516,537,541,10,2.477.000,90,SocSci,2017
Viña del Mar,Región de Valparaíso,8,517,,,11,2.260.000,100,SocSci,2012
Santiago,Región Metropolitana,10,443,493,,47,3.032.400,224,SocSci,2015
Santiago,Región Metropolitana,10,604,,,28,1.548.613,249,SocSci,2008
Antofagasta,Región de Antofagasta,4,491,468,471,17,2.257.000,48,SocSci,2018
Santiago,Región Metropolitana,11,508,,,12,1.586.400,197,SocSci,2006
La Serena,Región de Coquimbo,10,528,,,17,1.610.000,77,SocSci,2009
Santiago,Región Metropolitana,9,676,,,102,3.200.000,606,SocSci,2008
Santiago,Región Metropolitana,8,512,,,47,1.660.000,204,SocSci,2007
Santiago,Región Metropolitana,10,536,493,501,63,4.242.610,260,SocSci,2015
Santiago,Región Metropolitana,8,503,,,6,1.530.000,96,SocSci,2007
Las Condes,Región Metropolitana,5,448,,,29,2.790.000,271,SocSci,2013
Puerto Montt,Región de Los Lagos,9,539,,,14,1.050.000,75,SocSci,2007
Lo Barnechea,Región Metropolitana,8,575,,,32,4.133.000,224,SocSci,2011
Talca,Región del Maule,9,509,,,30,1.120.000,119,SocSci,2007
Temuco,Región de La Araucanía,9,486,,,24,1.050.000,67,SocSci,2007
Santiago,Región Metropolitana,10,602,,,75,2.112.000,126,SocSci,2008
Viña del Mar,Región de Valparaíso,8,503,,,2,2.000.000,14,SocSci,2018
Providencia,Región Metropolitana,5,412,,,18,1.020.000,103,SocSci,2010
Chillán,Región de Ñuble,10,617,640,,58,2.465.000,258,SocSci,2013
Viña del Mar,Región de Valparaíso,10,594,,,45,3.218.333,181,SocSci,2011
Viña del Mar,Región de Valparaíso,10,495,513,,96,4.118.000,536,SocSci,2019
Curicó,Región del Maule,10,552,561,578,39,2.050.000,229,SocSci,2014
Temuco,Región de La Araucanía,8,461,,,14,1.220.000,232,SocSci,2006
Temuco,Región de La Araucanía,12,619,621,650,71,2.287.000,302,SocSci,2013
La Serena,Región de Coquimbo,10,528,,,45,2.100.000,214,SocSci,2010
Valparaíso,Región de Valparaíso,10,675,,,68,3.119.000,307,SocSci,2011
Santiago,Región Metropolitana,10,529,474,,38,2.814.000,138,SocSci,2013
Osorno,Región de Los Lagos,2,453,,,1,1.441.400,24,SocSci,2015
Lo Barnechea,Región Metropolitana,10,605,,,58,3.805.000,420,SocSci,2009
Concepción,Región del Bío-Bío,10,528,,,44,3.202.400,237,SocSci,2017
Santiago,Región Metropolitana,10,639,613,656,45,2.986.400,170,SocSci,2014
Providencia,Región Metropolitana,10,550,522,542,47,2.355.000,189,SocSci,2019
Punta Arenas,Región de Magallanes,10,528,528,532,8,2.454.000,100,SocSci,2016
Talca,Región del Maule,10,605,635,672,69,2.980.000,327,SocSci,2016
Antofagasta,Región de Antofagasta,10,560,548,561,44,3.152.000,233,SocSci,2018
Concepción,Región del Bío-Bío,9,542,,,71,1.670.000,386,SocSci,2011
Iquique,Región de Tarapacá,10,474,,,2,2.567.100,139,SocSci,2016
Valparaíso,Región de Valparaíso,9,629,,,43,2.391.000,238,SocSci,2009
Coquimbo,Región de Coquimbo,10,624,644,678,44,2.454.000,222,SocSci,2013
Chillán,Región de Ñuble,10,654,673,714,56,2.947.000,312,SocSci,2018
Copiapó,Región de Atacama,10,512,511,536,113,1.752.000,130,SocSci,2013
Ñuñoa,Región Metropolitana,10,658,,,80,2.570.400,417,SocSci,2012
Santiago,Región Metropolitana,3,550,,,2,2.775.100,32,SocSci,2017
Concepción,Región del Bío-Bío,10,494,,,41,1.783.000,187,SocSci,2009
Antofagasta,Región de Antofagasta,10,558,,,89,3.136.300,338,SocSci,2019
Temuco,Región de La Araucanía,12,635,,,56,1.686.000,280,SocSci,2008
Rancagua,Región del Gral. B. O`Higgins,8,436,,,25,890.000,176,SocSci,2011
Concepción,Región del Bío-Bío,8,569,516,523,10,2.935.000,75,SocSci,2014
Santiago,Región Metropolitana,10,514,,,17,2.220.000,91,SocSci,2006
Santiago,Región Metropolitana,9,603,551,564,40,3.670.000,174,SocSci,2016
Iquique,Región de Tarapacá,10,535,,,17,1.741.000,73,SocSci,2011
Curicó,Región del Maule,10,576,,622,47,2.160.000,218,SocSci,2015
Viña del Mar,Región de Valparaíso,8,500,,,1,3.052.528,2,SocSci,2012
Concepción,Región del Bío-Bío,10,619,,,53,2.820.000,224,SocSci,2009
Talca,Región del Maule,10,568,,,55,2.470.000,313,SocSci,2012
Concepción,Región del Bío-Bío,9,557,,,76,1.590.000,391,SocSci,2010
Valparaíso,Región de Valparaíso,10,677,,,56,2.927.000,297,SocSci,2010
Antofagasta,Región de Antofagasta,10,550,556,569,29,2.360.000,170,SocSci,2018
Santiago,Región Metropolitana,8,526,,,28,1.990.000,165,SocSci,2012
Santiago,Región Metropolitana,11,662,,,67,1.929.850,453,SocSci,2008
Concepción,Región del Bío-Bío,10,485,,,53,1.628.000,178,SocSci,2008
Temuco,Región de La Araucanía,12,625,,,57,2.075.000,278,SocSci,2011
Arica,Región de Arica y Parinacota,9,540,,,29,1.971.000,252,SocSci,2012
Providencia,Región Metropolitana,10,488,,,9,1.536.700,111,SocSci,2008
Coquimbo,Región de Coquimbo,10,618,,,45,1.720.000,288,SocSci,2006
La Serena,Región de Coquimbo,8,520,,,12,1.560.000,106,SocSci,2012
Santiago,Región Metropolitana,10,546,,,29,2.400.000,253,SocSci,2011
Copiapó,Región de Atacama,10,505,,,19,1.880.000,91,SocSci,2009
Temuco,Región de La Araucanía,10,572,,,59,1.858.000,107,SocSci,2009
Curicó,Región del Maule,10,558,,,45,1.910.000,282,SocSci,2012
Iquique,Región de Tarapacá,10,514,,,13,1.708.000,69,SocSci,2011
Temuco,Región de La Araucanía,10,543,541,555,44,2.342.000,236,SocSci,2017
Providencia,Región Metropolitana,9,562,,,45,2.051.600,210,SocSci,2009
Santiago,Región Metropolitana,10,586,,,58,1.500.000,74,SocSci,2006
Santiago,Región Metropolitana,10,521,,,6,1.612.000,152,SocSci,2007
Santiago,Región Metropolitana,10,595,,,51,2.510.000,261,SocSci,2012
Viña del Mar,Región de Valparaíso,9,536,506,517,9,3.005.000,61,SocSci,2018
Peñalolén,Región Metropolitana,10,639,584,601,58,4.674.000,267,SocSci,2015
Temuco,Región de La Araucanía,12,656,665,709,76,2.806.000,358,SocSci,2018
Valparaíso,Región de Valparaíso,10,596,592,614,64,3.318.600,198,SocSci,2017
Iquique,Región de Tarapacá,10,577,,,41,1.935.000,122,SocSci,2010
Providencia,Región Metropolitana,10,518,508,516,15,3.600.000,170,SocSci,2018
Santiago,Región Metropolitana,9,509,,,29,2.160.300,125,SocSci,2018
Concepción,Región del Bío-Bío,9,556,567,579,89,2.198.000,479,SocSci,2018
La Serena,Región de Coquimbo,10,524,481,488,13,2.179.000,75,SocSci,2017
Macul,Región Metropolitana,10,706,,,50,3.360.000,334,SocSci,2010
Temuco,Región de La Araucanía,10,556,519,532,34,2.347.000,145,SocSci,2014
Macul,Región Metropolitana,10,715,,,48,2.970.000,322,SocSci,2008
Valdivia,Región de los Ríos,10,598,,,159,1.780.000,207,SocSci,2009
La Serena,Región de Coquimbo,8,512,,,33,1.360.000,127,SocSci,2009
Temuco,Región de La Araucanía,10,553,,,61,1.340.600,282,SocSci,2007
Talca,Región del Maule,10,525,,,46,2.060.000,178,SocSci,2009
Concepción,Región del Bío-Bío,10,572,,,52,2.313.000,220,SocSci,2012
Providencia,Región Metropolitana,10,484,519,,19,1.986.000,75,SocSci,2015
Concepción,Región del Bío-Bío,11,646,,,66,2.062.000,325,SocSci,2008
Temuco,Región de La Araucanía,9,401,,,1,900.000,24,SocSci,2011
Santiago,Región Metropolitana,4,609,557,565,132,4.051.000,155,SocSci,2016
Ñuñoa,Región Metropolitana,10,715,708,757,72,2.754.300,433,SocSci,2014
Santiago,Región Metropolitana,8,492,,,20,2.127.500,43,SocSci,2012
Punta Arenas,Región de Magallanes,10,534,,,31,3.047.000,208,SocSci,2012
Santiago,Región Metropolitana,10,647,,,58,3.060.000,276,SocSci,2012
La Serena,Región de Coquimbo,5,415,,,14,920.000,60,SocSci,2011
Iquique,Región de Tarapacá,11,539,,,50,1.930.000,225,SocSci,2010
Macul,Región Metropolitana,10,723,,,91,3.710.000,710,SocSci,2010
Concepción,Región del Bío-Bío,9,550,,,10,1.550.000,11,SocSci,2010
Las Condes,Región Metropolitana,10,576,,,49,3.548.594,262,SocSci,2012
Arica,Región de Arica y Parinacota,8,575,,,33,2.040.000,155,SocSci,2010
Lo Barnechea,Región Metropolitana,2,575,543,548,43,5.601.215,43,SocSci,2016
Providencia,Región Metropolitana,10,537,,,15,1.659.000,93,SocSci,2007
Valparaíso,Región de Valparaíso,10,639,,,89,1.760.000,451,SocSci,2007
San Miguel,Región Metropolitana,10,498,,,12,1.980.000,91,SocSci,2009
Chillán,Región de Ñuble,10,648,664,704,54,2.676.300,285,SocSci,2015
Lo Barnechea,Región Metropolitana,8,576,553,544,20,4.609.000,140,SocSci,2013
Concepción,Región del Bío-Bío,10,615,,,69,1.268.000,340,SocSci,2006
Concepción,Región del Bío-Bío,9,548,544,575,2,2.558.000,42,SocSci,2018
Talcahuano,Región del Bío-Bío,10,472,,,24,1.783.000,136,SocSci,2009
Chillán,Región de Ñuble,10,575,593,609,54,1.929.000,259,SocSci,2014
Santiago,Región Metropolitana,10,548,,,31,2.823.378,89,SocSci,2012
Curicó,Región del Maule,9,433,,,4,1.000.000,35,SocSci,2011
La Serena,Región de Coquimbo,5,435,,,11,920.000,53,SocSci,2010
Macul,Región Metropolitana,10,725,,,85,2.780.000,677,SocSci,2006
Macul,Región Metropolitana,4,691,,,223,2.780.000,483,SocSci,2006
Providencia,Región Metropolitana,9,569,,,33,2.165.000,170,SocSci,2013
Viña del Mar,Región de Valparaíso,10,478,,,33,2.391.013,178,SocSci,2018
Providencia,Región Metropolitana,9,423,,,3,1.840.000,64,SocSci,2012
Santiago,Región Metropolitana,10,529,479,,23,2.899.000,131,SocSci,2013
Iquique,Región de Tarapacá,10,526,555,569,21,1.501.872,85,SocSci,2013
Arica,Región de Arica y Parinacota,10,502,,,24,2.734.500,119,SocSci,2018
Ñuñoa,Región Metropolitana,10,708,,,32,1.653.000,272,SocSci,2006
La Florida,Región Metropolitana,10,495,,,23,2.203.000,81,SocSci,2010
Providencia,Región Metropolitana,8,526,541,559,7,2.358.700,28,SocSci,2013
Iquique,Región de Tarapacá,9,534,,,26,1.410.000,73,SocSci,2009
Ñuñoa,Región Metropolitana,12,710,,,65,2.357.000,424,SocSci,2011
Santiago,Región Metropolitana,10,591,587,625,113,2.698.500,595,SocSci,2016
Santiago,Región Metropolitana,9,597,,,107,3.237.487,614,SocSci,2009
Valparaíso,Región de Valparaíso,10,596,,,44,1.776.500,166,SocSci,2009
Macul,Región Metropolitana,10,716,,,89,3.930.000,837,SocSci,2011
Talca,Región del Maule,9,493,,,27,1.330.000,120,SocSci,2009
Ñuñoa,Región Metropolitana,12,709,,,53,2.123.000,402,SocSci,2009
Santiago,Región Metropolitana,10,656,,,54,1.737.500,271,SocSci,2006
Providencia,Región Metropolitana,10,542,,,76,2.134.000,299,SocSci,2010
Antofagasta,Región de Antofagasta,10,497,,,57,2.496.300,260,SocSci,2014
Puerto Montt,Región de Los Lagos,10,577,599,630,67,2.825.000,330,SocSci,2013
Providencia,Región Metropolitana,10,570,517,517,14,2.285.000,180,SocSci,2016
La Serena,Región de Coquimbo,10,552,,,34,1.906.000,189,SocSci,2008
Iquique,Región de Tarapacá,10,517,,,19,1.850.000,82,SocSci,2010
Arica,Región de Arica y Parinacota,8,588,603,612,23,2.559.000,164,SocSci,2013
Iquique,Región de Tarapacá,10,526,,,12,1.990.000,75,SocSci,2011
Antofagasta,Región de Antofagasta,10,543,,,46,1.440.000,214,SocSci,2007
Providencia,Región Metropolitana,10,504,476,476,8,1.691.000,119,SocSci,2016
Talca,Región del Maule,10,602,,,58,2.400.000,338,SocSci,2010
Iquique,Región de Tarapacá,10,557,543,552,12,2.034.590,71,SocSci,2018
Santiago,Región Metropolitana,10,539,475,476,14,2.455.800,98,SocSci,2015
Ñuñoa,Región Metropolitana,10,739,,,40,1.653.000,310,SocSci,2006
Viña del Mar,Región de Valparaíso,10,462,,,60,3.626.766,230,SocSci,2017
Antofagasta,Región de Antofagasta,10,523,,,7,1.490.000,33,SocSci,2008
Valparaíso,Región de Valparaíso,10,680,666,703,63,3.719.000,383,SocSci,2015
Valparaíso,Región de Valparaíso,10,648,,,44,1.960.000,273,SocSci,2010
Temuco,Región de La Araucanía,8,499,542,522,72,2.326.325,287,SocSci,2019
Las Condes,Región Metropolitana,2,582,,,107,3.665.004,110,SocSci,2010
La Serena,Región de Coquimbo,9,502,,,23,1.105.000,224,SocSci,2006
Concepción,Región del Bío-Bío,9,521,,,17,2.133.400,107,SocSci,2019
Santiago,Región Metropolitana,10,646,653,696,60,3.659.000,225,SocSci,2019
Temuco,Región de La Araucanía,10,568,540,553,39,2.625.000,132,SocSci,2016
Santiago,Región Metropolitana,8,519,,,1,1.345.500,6,SocSci,2012
Valparaíso,Región de Valparaíso,10,635,,,74,2.088.000,481,SocSci,2009
Santiago,Región Metropolitana,10,489,,,64,2.530.000,189,SocSci,2012
Macul,Región Metropolitana,8,689,,,311,3.610.000,337,SocSci,2009
Concepción,Región del Bío-Bío,5,391,,,2,920.000,65,SocSci,2010
Temuco,Región de La Araucanía,10,528,,,73,1.593.000,336,SocSci,2009
Viña del Mar,Región de Valparaíso,12,584,,,74,3.136.449,428,SocSci,2010
Temuco,Región de La Araucanía,10,537,,,28,1.590.000,158,SocSci,2008
Viña del Mar,Región de Valparaíso,10,496,,,2,1.935.000,38,SocSci,2014
Valparaíso,Región de Valparaíso,10,593,,,30,1.432.000,95,SocSci,2006
Concepción,Región del Bío-Bío,10,637,618,642,71,1.923.000,371,SocSci,2016
Santiago,Región Metropolitana,11,547,,,9,1.697.000,155,SocSci,2007
Viña del Mar,Región de Valparaíso,12,555,534,547,152,4.121.387,645,SocSci,2016
Chillán,Región de Ñuble,10,571,599,,50,1.878.000,255,SocSci,2013
Viña del Mar,Región de Valparaíso,9,500,,,30,1.790.000,228,SocSci,2012
Providencia,Región Metropolitana,10,573,,,20,2.160.000,128,SocSci,2011
Recoleta,Región Metropolitana,10,515,489,500,40,2.676.800,138,SocSci,2018
Santiago,Región Metropolitana,10,679,624,648,238,4.663.000,1123,Law,2016
Viña del Mar,Región de Valparaíso,10,618,,,77,2.520.000,351,Law,2006
Victoria,Región de La Araucanía,10,541,543,575,14,2.508.600,86,Law,2018
Viña del Mar,Región de Valparaíso,10,411,,,44,3.520.755,238,Law,2017
Santiago,Región Metropolitana,10,532,537,553,29,2.363.600,226,Law,2013
Viña del Mar,Región de Valparaíso,10,639,595,606,78,4.739.733,405,Law,2017
Valdivia,Región de los Ríos,10,495,,,10,2.450.000,79,Law,2013
Providencia,Región Metropolitana,10,560,,,258,3.708.894,1377,Law,2012
Maipú,Región Metropolitana,,513,,,6,2.100.000,84,Law,2009
Providencia,Región Metropolitana,5,427,,,21,840.000,83,Law,2010
Providencia,Región Metropolitana,10,559,517,525,76,3.697.700,388,Law,2013
Santiago,Región Metropolitana,5,450,,,,,21,Law,2012
Iquique,Región de Tarapacá,11,561,,,63,1.750.000,113,Law,2008
Talca,Región del Maule,10,516,,,37,2.773.400,241,Law,2015
Viña del Mar,Región de Valparaíso,10,460,477,,6,2.745.500,110,Law,2015
Iquique,Región de Tarapacá,10,344,,,8,1.460.000,67,Law,2008
Concepción,Región del Bío-Bío,10,483,,,41,2.397.000,149,Law,2010
Arica,Región de Arica y Parinacota,11,586,591,623,100,3.138.000,503,Law,2018
La Serena,Región de Coquimbo,10,546,,,1,1.870.000,94,Law,2008
Talca,Región del Maule,10,607,628,655,57,3.350.000,63,Law,2019
Santiago,Región Metropolitana,10,725,,,371,3.215.000,2781,Law,2011
Santiago,Región Metropolitana,10,570,519,528,152,4.429.000,885,Law,2019
Temuco,Región de La Araucanía,10,528,,,73,1.848.000,437,Law,2006
Temuco,Región de La Araucanía,10,579,565,590,107,2.977.000,312,Law,2014
San Miguel,Región Metropolitana,10,516,501,524,66,3.084.000,182,Law,2016
Puerto Montt,Región de Los Lagos,10,515,,,15,2.220.000,101,Law,2010
Iquique,Región de Tarapacá,11,573,,,33,2.437.000,226,Law,2012
Temuco,Región de La Araucanía,10,533,511,520,55,2.782.870,370,Law,2013
Iquique,Región de Tarapacá,10,514,,,16,2.282.300,101,Law,2014
Valdivia,Región de los Ríos,10,658,643,692,86,3.190.000,426,Law,2016
Curicó,Región del Maule,5,503,,,5,810.000,44,Law,2009
Arica,Región de Arica y Parinacota,11,543,,,88,1.930.000,493,Law,2010
Temuco,Región de La Araucanía,10,631,,,119,2.522.000,558,Law,2009
Victoria,Región de La Araucanía,10,562,558,590,8,2.330.000,54,Law,2014
Santiago,Región Metropolitana,10,529,,,41,3.709.700,256,Law,2018
Puerto Montt,Región de Los Lagos,10,552,523,523,56,3.907.400,323,Law,2019
San Joaquín,Región Metropolitana,10,640,610,642,50,2.986.500,250,Law,2016
Puerto Montt,Región de Los Lagos,5,366,,,3,800.000,63,Law,2009
Antofagasta,Región de Antofagasta,10,560,563,574,69,3.284.000,432,Law,2016
Los Ángeles,Región del Bío-Bío,10,532,,,39,2.808.100,177,Law,2017
Santiago,Región Metropolitana,12,516,,,10,2.883.800,407,Law,2017
Osorno,Región de Los Lagos,10,558,,,28,3.102.295,138,Law,2011
Antofagasta,Región de Antofagasta,10,507,,,29,2.418.000,144,Law,2013
Viña del Mar,Región de Valparaíso,10,529,,,21,2.500.000,207,Law,2012
Santiago,Región Metropolitana,10,549,522,543,153,3.876.000,1000,Law,2015
Santiago,Región Metropolitana,10,663,614,634,238,5.179.000,1262,Law,2019
Santiago,Región Metropolitana,12,526,,,33,1.760.000,231,Law,2007
Antofagasta,Región de Antofagasta,10,588,,,92,2.300.000,404,Law,2008
Peñalolén,Región Metropolitana,10,632,,,119,3.128.850,493,Law,2007
Valparaíso,Región de Valparaíso,10,653,,,176,3.272.000,741,Law,2012
Rancagua,Región del Gral. B. O`Higgins,5,500,,,12,785.000,89,Law,2006
Valdivia,Región de los Ríos,10,660,666,706,86,3.639.000,458,Law,2019
Santiago,Región Metropolitana,10,742,732,770,278,4.739.000,1986,Law,2016
Talca,Región del Maule,10,507,,,54,1.524.915,182,Law,2006
Providencia,Región Metropolitana,10,557,,,19,3.708.894,21,Law,2012
Santiago,Región Metropolitana,4,570,,,6,705.000,95,Law,2007
Santiago,Región Metropolitana,10,722,,,221,2.780.000,1307,Law,2006
Chillán,Región de Ñuble,10,623,,,65,2.716.000,288,Law,2011
Las Condes,Región Metropolitana,10,662,618,627,148,4.182.597,842,Law,2014
Providencia,Región Metropolitana,10,599,549,561,133,4.377.000,557,Law,2017
La Serena,Región de Coquimbo,10,612,565,585,53,3.169.000,160,Law,2016
Chillán,Región de Ñuble,10,634,645,676,63,3.228.000,282,Law,2016
Santiago,Región Metropolitana,10,570,,,280,2.640.000,1219,Law,2007
Santiago,Región Metropolitana,10,527,,,79,2.000.000,284,Law,2006
Coquimbo,Región de Coquimbo,10,648,645,690,101,3.310.000,460,Law,2016
Peñalolén,Región Metropolitana,10,634,584,595,115,4.485.324,622,Law,2014
Puerto Montt,Región de Los Lagos,10,515,,,4,2.688.500,70,Law,2016
Santiago,Región Metropolitana,10,607,598,637,91,3.003.600,340,Law,2018
Temuco,Región de La Araucanía,8,508,,,27,1.005.000,215,Law,2006
Temuco,Región de La Araucanía,10,523,,,89,2.376.000,404,Law,2012
Valparaíso,Región de Valparaíso,10,674,639,665,190,3.950.000,957,Law,2016
Valdivia,Región de los Ríos,10,559,544,544,53,3.907.400,304,Law,2019
Santiago,Región Metropolitana,10,489,,,20,1.756.000,106,Law,2009
Santiago,Región Metropolitana,5,548,,,1,630.000,87,Law,2006
Chillán,Región de Ñuble,10,607,,,65,2.825.000,298,Law,2012
Concepción,Región del Bío-Bío,10,408,512,,2,2.812.950,116,Law,2015
Temuco,Región de La Araucanía,10,573,564,583,117,2.835.000,229,Law,2013
Linares,Región del Maule,10,575,,,6,1.372.800,32,Law,2006
Viña del Mar,Región de Valparaíso,10,627,,,87,3.560.000,352,Law,2012
Arica,Región de Arica y Parinacota,11,573,,,73,2.437.000,466,Law,2012
Valdivia,Región de los Ríos,10,566,533,555,47,3.579.700,278,Law,2016
Melipilla,Región Metropolitana,4,461,,,45,550.000,164,Law,2007
Puerto Montt,Región de Los Lagos,10,501,,,30,2.618.800,125,Law,2014
Santiago,Región Metropolitana,10,696,683,761,59,4.000.000,65,Law,2017
Valparaíso,Región de Valparaíso,10,655,,,131,2.401.000,627,Law,2012
Providencia,Región Metropolitana,10,450,450,450,,,20,Law,2017
Antofagasta,Región de Antofagasta,10,509,,,28,1.660.000,82,Law,2007
Peñalolén,Región Metropolitana,10,622,,,143,3.647.444,659,Law,2011
Providencia,Región Metropolitana,10,553,,,13,2.290.000,107,Law,2013
Santiago,Región Metropolitana,10,549,,,79,2.700.000,360,Law,2011
Puerto Montt,Región de Los Lagos,10,559,538,554,50,3.579.700,272,Law,2016
Santiago,Región Metropolitana,8,485,,,44,1.206.000,65,Law,2006
Temuco,Región de La Araucanía,10,593,584,605,104,3.286.000,417,Law,2016
Concepción,Región del Bío-Bío,10,589,546,553,78,4.362.236,271,Law,2016
Copiapó,Región de Atacama,10,559,524,543,74,2.731.000,377,Law,2015
La Serena,Región de Coquimbo,10,612,575,593,57,3.270.000,200,Law,2017
Arica,Región de Arica y Parinacota,11,598,618,648,83,3.061.000,496,Law,2017
Iquique,Región de Tarapacá,11,540,533,538,22,3.061.000,210,Law,2017
Puerto Montt,Región de Los Lagos,10,493,,,5,2.300.100,34,Law,2014
Concepción,Región del Bío-Bío,10,548,515,521,114,3.939.600,635,Law,2017
Osorno,Región de Los Lagos,10,575,549,570,55,3.550.000,62,Law,2019
Santiago,Región Metropolitana,10,526,529,554,33,2.706.400,227,Law,2015
Viña del Mar,Región de Valparaíso,10,542,,,55,3.337.690,304,Law,2015
Santiago,Región Metropolitana,10,726,686,721,370,3.578.200,2757,Law,2013
Santiago,Región Metropolitana,10,497,,,45,2.484.000,112,Law,2011
Temuco,Región de La Araucanía,10,533,,,114,2.284.700,454,Law,2009
Viña del Mar,Región de Valparaíso,10,638,,,94,3.149.096,386,Law,2009
Valparaíso,Región de Valparaíso,10,662,662,722,120,2.818.000,617,Law,2015
Victoria,Región de La Araucanía,10,555,555,583,21,2.447.414,62,Law,2017
Providencia,Región Metropolitana,10,450,450,450,27,2.250.000,79,Law,2017
Peñalolén,Región Metropolitana,10,647,587,606,121,4.674.000,679,Law,2015
Providencia,Región Metropolitana,10,461,,,31,1.449.000,112,Law,2006
Santiago,Región Metropolitana,10,670,623,642,231,4.854.000,1218,Law,2017
Arica,Región de Arica y Parinacota,5,493,,,1,630.000,32,Law,2006
Santiago,Región Metropolitana,10,630,,,47,1.586.400,504,Law,2006
Coquimbo,Región de Coquimbo,10,651,,,86,1.940.000,598,Law,2006
Antofagasta,Región de Antofagasta,10,616,,,88,1.940.000,466,Law,2006
Puerto Montt,Región de Los Lagos,10,628,603,643,49,3.605.000,102,Law,2019
Calama,Región de Antofagasta,5,426,,,6,760.000,14,Law,2009
Viña del Mar,Región de Valparaíso,12,549,,,7,2.635.900,129,Law,2015
Iquique,Región de Tarapacá,10,490,,,21,1.430.000,64,Law,2006
La Serena,Región de Coquimbo,10,477,,,2,1.290.000,17,Law,2007
Iquique,Región de Tarapacá,12,499,,,3,1.840.000,99,Law,2009
Viña del Mar,Región de Valparaíso,10,526,,,40,2.170.000,189,Law,2009
Viña del Mar,Región de Valparaíso,,469,,,6,2.410.000,166,Law,2009
Lo Barnechea,Región Metropolitana,10,621,,,81,4.322.000,447,Law,2012
Providencia,Región Metropolitana,10,597,,,11,2.550.000,242,Law,2011
Santiago,Región Metropolitana,10,602,,,190,3.310.000,1322,Law,2010
Santiago,Región Metropolitana,10,728,704,759,369,3.944.900,2805,Law,2015
Santiago,Región Metropolitana,10,725,,,376,2.897.000,2565,Law,2009
Providencia,Región Metropolitana,10,550,496,496,9,2.545.000,177,Law,2016
Providencia,Región Metropolitana,10,536,,,13,2.093.000,71,Law,2010
Temuco,Región de La Araucanía,10,563,531,536,51,3.525.940,250,Law,2017
